S.No,X,Y,Z
1,363.94,-54.14,505.79
2,294.56,-154.24,505.79
3,176.56,-54.14,505.79
4,86.92,-154.24,505.79
5,-99.04,-154.24,505.79
6,-188.69,-54.14,505.79
7,-306.68,-154.24,506.79
8,-376.06,-54.14,506.79
9,503.94,-54.14,365.79
10,503.94,-154.24,296.4
11,503.94,-54.14,178.41
12,503.94,-154.24,88.77
13,503.94,-154.24,-97.19
14,503.94,-54.14,-186.84
15,503.94,-154.24,-304.83
16,503.94,-54.14,-374.21
17,363.94,-54.14,-514.21
18,294.56,-154.24,-514.21
19,176.56,-54.14,-514.21
20,86.92,-154.24,-514.21
21,-99.04,-154.24,-514.21
22,-188.69,-54.14,-514.21
23,-306.68,-154.24,-514.21
24,-376.06,-54.14,-514.21
25,-516.06,-54.14,365.79
26,-516.06,-154.24,296.4
27,-516.06,-54.14,178.41
28,-516.06,-154.24,88.77
29,-516.06,-154.24,-97.19
30,-516.06,-54.14,-186.84
31,-516.06,-154.24,-304.83
32,-516.06,-54.14,-374.21
